"word";"order_id";"qtd_meanings";"qtd_images";"new_words_to_search"
"slum";"173";"2";"5";"0"
"snooker";"174";"2";"5";"0"
"sort out";"175";"7";"5";"0"
"sought after";"176";"1";"0";"0"
"sow";"177";"3";"5";"0"
"sponsor";"178";"9";"5";"0"
"spoon";"179";"3";"5";"0"
"stack";"180";"4";"5";"1"
"stimulate";"181";"3";"0";"0"
"stream";"182";"11";"5";"0"
"strike";"183";"15";"5";"0"
"stubborn";"184";"2";"0";"0"
"syringe";"185";"2";"5";"0"
"table tennis";"186";"1";"5";"0"
"take your time";"187";"1";"0";"0"
"lane";"188";"5";"5";"2"
"tenant";"189";"1";"5";"0"
"terrace";"190";"3";"5";"0"
"tether";"191";"3";"5";"0"
"thailand";"192";"1";"0";"0"
"thug";"193";"1";"5";"0"
"tin";"194";"6";"5";"0"
"topography";"195";"2";"5";"0"
"tot";"196";"2";"5";"0"
"towel";"197";"2";"5";"0"
"townhouse";"198";"3";"5";"0"
"trailing";"199";"1";"0";"0"
"trip";"200";"9";"5";"0"
"twig";"201";"2";"5";"0"
"unleavened";"202";"1";"0";"0"
"vaccinate";"203";"1";"0";"0"
"vertical";"204";"2";"0";"0"
"vessel";"205";"3";"5";"0"
"vitamin";"206";"2";"5";"0"
"warm up";"207";"12";"5";"0"
"wash up";"208";"4";"5";"0"
"wedge";"209";"3";"5";"0"
"weed";"210";"5";"5";"0"
"trimmer";"211";"1";"5";"0"
"weed trimmer";"212";"0";"0";"0"
"weed wackers";"213";"0";"0";"0"
"wheelchair";"214";"1";"5";"0"
"whim";"215";"1";"5";"0"
"white bread";"216";"1";"0";"0"
"whole grain bread";"217";"0";"0";"0"
"wipe";"218";"6";"5";"0"
"withdraw";"219";"10";"0";"0"
"would rather";"220";"1";"0";"0"
"yeast";"221";"1";"5";"0"
"zinc";"222";"1";"5";"0"
"brown bread";"223";"0";"0";"0"
"the accent is on something";"224";"1";"0";"0"
"ankle socks/boots";"225";"1";"0";"0"
"by appointment to the Queen";"226";"1";"0";"0"
"a wine/coffee/snack etc bar";"227";"1";"0";"0"
"a breakfast bar";"228";"1";"0";"0"
"behind bars";"229";"1";"0";"0"
"bar to (doing) something";"230";"1";"0";"0"
"the bar";"231";"1";"0";"0"
"be called to the bar";"232";"2";"0";"0"
"scroll bar";"233";"1";"5";"0"
"bar none";"234";"1";"0";"0"
"barring";"235";"1";"0";"0"
"blow your nose";"236";"1";"0";"0"
"blow somebody a kiss";"237";"1";"0";"0"
"blow/blow me/blow it etc";"238";"1";"0";"0"
"blow somebody’s mind";"239";"1";"0";"0"
"blow your top/stack/cool";"240";"1";"0";"0"
"blow the whistle on somebody";"241";"1";"0";"0"
"blow something (up) out of (all) proportion";"242";"1";"0";"0"
"blow your own trumpet";"243";"1";"0";"0"
"blow somebody/something out of the water";"244";"1";"0";"0"
"blow hot and cold";"245";"1";"0";"0"
"blow something sky-high";"246";"2";"0";"0"
"blow down";"247";"1";"0";"0"
"blow in";"248";"2";"0";"0"
"blow out";"249";"8";"0";"0"
